sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-CK-5914-01	TCGA-CK-5914-01	10.23	12.04	10.97	11.43	11.79	11.51	12.17	Primary Tumor
TCGA-CM-6165-01	TCGA-CM-6165-01	10.22	12.28	11.33	11.57	10.93	11.69	12.09	Primary Tumor
TCGA-AZ-4323-01	TCGA-AZ-4323-01	10.21	11.45	10.11	11.97	11.81	10.07	11.8	Primary Tumor
TCGA-F4-6806-01	TCGA-F4-6806-01	10.2	12.53	10.65	11.47	11.84	11.3	11.82	Primary Tumor
TCGA-AY-5543-01	TCGA-AY-5543-01	10.2	12.28	9.078	11.72	11.4	11.35	12.55	Primary Tumor
TCGA-A6-A565-01	TCGA-A6-A565-01	10.17	12.71	11.3	11.7	11.29	11.65	12.16	Primary Tumor
TCGA-QG-A5YV-01	TCGA-QG-A5YV-01	10.17	12.17	10.31	11.09	11.45	11.25	11.76	Primary Tumor
TCGA-D5-6538-01	TCGA-D5-6538-01	10.17	11.81	11.07	11.77	11.4	11.57	11.65	Primary Tumor
TCGA-A6-4105-01	TCGA-A6-4105-01	10.16	11.91	10.65	11.91	11.91	10.7	11.99	Primary Tumor
TCGA-D5-6532-01	TCGA-D5-6532-01	10.15	12.31	10.58	12.15	11.41	11.25	12.13	Primary Tumor
TCGA-F4-6459-01	TCGA-F4-6459-01	10.15	12.15	11.38	11.46	12.14	11.64	12.23	Primary Tumor
TCGA-AD-A5EJ-01	TCGA-AD-A5EJ-01	10.14	12.74	10.75	11.63	11.52	11.61	12.2	Primary Tumor
TCGA-F4-6704-11	TCGA-F4-6704-11	10.14	12.53	11.46	11.73	11	11.5	11.93	Solid Tissue Normal
TCGA-DM-A282-01	TCGA-DM-A282-01	10.14	11.8	10.32	11.13	12.04	10.85	11.83	Primary Tumor
TCGA-D5-6531-01	TCGA-D5-6531-01	10.14	11.55	8.932	11.79	11.02	10.42	11.41	Primary Tumor
TCGA-A6-5659-01	TCGA-A6-5659-01	10.14	11.41	11.22	11.6	11.53	11.1	11.93	Primary Tumor
TCGA-D5-6929-01	TCGA-D5-6929-01	10.13	12.37	10.95	11.84	11.67	11.4	11.3	Primary Tumor
TCGA-5M-AAT5-01	TCGA-5M-AAT5-01	10.12	12.81	10.64	11.73	11.81	11.3	11.38	Primary Tumor
TCGA-A6-6649-01	TCGA-A6-6649-01	10.12	12.47	11.04	11.39	11.54	11.12	11.79	Primary Tumor
TCGA-D5-6533-01	TCGA-D5-6533-01	10.11	12.89	11.61	11.93	11.92	11.62	11.24	Primary Tumor
TCGA-D5-6930-01	TCGA-D5-6930-01	10.11	12.36	10.4	12	10.7	10.66	11.56	Primary Tumor
TCGA-CM-6171-01	TCGA-CM-6171-01	10.1	11.99	10.87	11.38	11.15	11.98	11.72	Primary Tumor
TCGA-CM-4751-01	TCGA-CM-4751-01	10.09	13.14	11.4	11.12	10.83	11.24	11.96	Primary Tumor
